Week,Series,Value,Lower,Upper,IsFuture
2025-07-27,Actual,1046604.87,,,0
2025-08-03,Actual,1151864.24,,,0
2025-08-10,Actual,1130152.01,,,0
2025-08-17,Actual,1076179.11,,,0
2025-08-24,Actual,1125251.32,,,0
2025-08-31,Actual,1172572.56,,,0
2022-09-04,Prophet (In-sample),1026968.9740880111,,,0
2022-09-11,Prophet (In-sample),1036374.2222310387,,,0
2022-09-18,Prophet (In-sample),1066824.6040849057,,,0
2022-09-25,Prophet (In-sample),1092314.875950778,,,0
2022-10-02,Prophet (In-sample),1099001.1692493646,,,0
2022-10-09,Prophet (In-sample),1096225.6187361986,,,0
2022-10-16,Prophet (In-sample),1098303.6502936315,,,0
2022-10-23,Prophet (In-sample),1102737.4445333898,,,0
2022-10-30,Prophet (In-sample),1093347.9812423037,,,0
2022-11-06,Prophet (In-sample),1063952.203283235,,,0
2022-11-13,Prophet (In-sample),1031641.7742015142,,,0
2022-11-20,Prophet (In-sample),1021161.58679967,,,0
2022-11-27,Prophet (In-sample),1039346.5769175596,,,0
2022-12-04,Prophet (In-sample),1067862.1153037897,,,0
2022-12-11,Prophet (In-sample),1084446.7695963988,,,0
2022-12-18,Prophet (In-sample),1085943.248909536,,,0
2022-12-25,Prophet (In-sample),1086813.8334821304,,,0
2023-01-01,Prophet (In-sample),1098818.2076442603,,,0
2023-01-08,Prophet (In-sample),1114734.5240415235,,,0
2023-01-15,Prophet (In-sample),1117326.1968207443,,,0
2023-01-22,Prophet (In-sample),1099633.084479084,,,0
2023-01-29,Prophet (In-sample),1072706.599583656,,,0
2023-02-05,Prophet (In-sample),1055073.7088259184,,,0
2023-02-12,Prophet (In-sample),1055669.1850079014,,,0
2023-02-19,Prophet (In-sample),1069902.8538215966,,,0
2023-02-26,Prophet (In-sample),1087004.3305496185,,,0
2023-03-05,Prophet (In-sample),1097258.2624918402,,,0
2023-03-12,Prophet (In-sample),1095157.0454121595,,,0
2023-03-19,Prophet (In-sample),1080345.4085099853,,,0
2023-03-26,Prophet (In-sample),1061453.7696564642,,,0
